tax_id	scientific_name	type	is_metagenome
1592514	lichen crust metagenome	ecological metagenomes	1
2762305	Candidatus Liberibacter sp. Z1		0
1904483	sheep gut metagenome	organismal metagenomes	1
2560525	Human orthorubulavirus 2		0
433724	termite gut metagenome	organismal metagenomes	1
1314	Streptococcus pyogenes		0
80350	Tegula funebralis		0
687331	Alphatorquevirus		0
1030	Thiothrix		0
2710837	Subdoligranulum sp. DS40		0
329854	Bacteroides intestinalis		0
40520	Blautia obeum		0
29466	Veillonella parvula		0
707757	Klebsiella phage KP15		0
2710833	Pseudomonas sp. PS039		0
2710841	Subdoligranulum sp. DS80		0
2710840	Subdoligranulum sp. DS79		0
216816	Bifidobacterium longum		0
2710832	Paraprevotella sp. DS66		0
1774	Mycobacteroides chelonae		0
823	Parabacteroides distasonis		0
2710850	Subdoligranulum sp. PS249		0
39483	Faecalitalea cylindroides		0
2710849	Subdoligranulum sp. PS224		0
2710848	Subdoligranulum sp. PS223		0
246787	Bacteroides cellulosilyticus		0
155148	Enterobacteria phage HK620		0
261299	Intestinibacter bartlettii		0
1538640	Smithella sp. F21		0
1703353	Bacteroides sp. SM23_62_1		0
1277350	Geobacter sp. DSM 9736		0
2710834	Subdoligranulum sp. DS11		0
469588	Bacteroides sp. 2_1_22		0
1703352	Bacteroides sp. SM23_62		0
218538	Dialister invisus		0
674529	Bacteroides faecis		0
487174	Barnesiella intestinihominis		0
1605	Ligilactobacillus animalis		0
457402	Eubacterium sp. 3_1_31		0
1531	Enterocloster clostridioformis		0
2710822	Acidaminococcus sp. PS273		0
12407	Eganvirus PsP3		0
10279	Molluscum contagiosum virus		0
2697049	Severe acute respiratory syndrome coronavirus 2		0
134964	Nocardia africana		0
60133	Prevotella pallens		0
117187	Fusarium verticillioides		0
28132	Prevotella melaninogenica		0
1871336	Criibacterium bergeronii		0
28137	Prevotella veroralis		0
470	Acinetobacter baumannii		0
67680	Anncaliia algerae		0
36911	Clavispora lusitaniae		0
5476	Candida albicans		0
169388	Fusarium solani		0
1266765	Geobacter sp. OR-1		0
2109671	Candidatus Nitrosocosmicus sp.		0
2560322	avian paramyxovirus 16		0
938273	hydrocarbon metagenome	ecological metagenomes	1
2014073	plastic metagenome	ecological metagenomes	1
587665			0
1839947	outdoor metagenome	ecological metagenomes	1
3394845	Candidatus Paraktedonobacter carboxidivorans		0
4840	Rhizomucor pusillus		0
1290	Staphylococcus hominis		0
40324	Stenotrophomonas maltophilia		0
102148	Solobacterium moorei		0
539	Eikenella corrodens		0
623	Shigella flexneri		0
101571	Burkholderia ubonensis		0
1282	Staphylococcus epidermidis		0
28128	Prevotella corporis		0
5059	Aspergillus flavus		0
2775041	Porites sp. ZF-2020		0
28901	Salmonella enterica		0
1114874	Flavobacterium piscis		0
2793219	Desulfomonile sp.		0
82992	Buttiauxella noackiae		0
2676887	Pillucina pacifica		0
244469	Chavania striata		0
1899376	Callucina winckworthi		0
244474	Divalinga quadrisulcata		0
244472	Ctena orbiculata		0
244458	Anodontia alba		0
1912772	Halodesulfovibrio sp.		0
1326787	fermentation metagenome	ecological metagenomes	1
2528703	Aigarchaeota archaeon		0
2026760	Fidelibacterota bacterium		0
2163009	Candidatus Poseidoniales archaeon		0
2099671	Candidatus Handelsmanbacteria bacterium		0
2250274	Microcaldota archaeon		0
2053503	Aquificaceae bacterium		0
1970082	Pyrodictium sp.		0
2049432	Chromatiaceae bacterium		0
2026773	Candidatus Pacearchaeota archaeon		0
2052143	Anaerolineae bacterium		0
2511821	Archaeoglobaceae archaeon		0
2026781	Candidatus Poribacteria bacterium		0
2528253	Methanococcaceae archaeon		0
2030811	Candidatus Peregrinibacteria bacterium		0
2021391	Flavobacteriales bacterium		0
2026780	Planctomycetota bacterium		0
2035771	Candidatus Lambdaproteobacteria bacterium		0
2358456	Nitrospinaceae bacterium		0
2026721	Candidatus Thioglobus sp.		0
2024841	Micavibrio sp.		0
2030882	Thiotrichaceae bacterium		0
2020875	Methyloprofundus sp.		0
2026808	Candidatus Nitrosopelagicus sp.		0
2109902	Aquificales bacterium		0
2026786	Rhodospirillales bacterium		0
2080302	Acidimicrobiia bacterium		0
2030828	Piscirickettsiaceae bacterium		0
2026796	Thiotrichales bacterium		0
2030816	Methylophilaceae bacterium		0
2053570	Candidatus Latescibacterota bacterium		0
2080303	Candidatus Dadabacteria bacterium		0
2026776	Candidatus Pelagibacterales bacterium		0
